ISBN,JudulBuku,Penulis,Penerbit,JumlahHalaman,Genre,TahunTerbit,Stok,TanggalMasuk,Ketersediaan,Deskripsi,TotalDipinjam
9789100976285,Hotel Angker di Hutan Terlarang,Luna Nightmare,Bayangan Misteri,280,horor,2023,8,20-11-2023,Tersedia,Sekelompok remaja terjebak dalam hotel angker penuh rahasia kelam.,0
9783005343835,Operasi Matahari Merah,Rex Thunder,Aksara Laga,320,aksi,2025,15,10-01-2025,Tersedia,Misi berbahaya seorang agen rahasia untuk menghentikan konspirasi global.,0
9783977746576,Negeri Awan Kristal,Lyra Snow,Imaji Fantasia,510,fantasi,2022,9,03-08-2022,Tersedia,Petualangan epik di dunia sihir dengan naga dan artefak kuno.,0
9781410243538,Tertawa Sampai Pagi,Koko Wijaya,Gelak Tawa Press,180,comedi,2024,22,01-03-2024,Tersedia,Kumpulan cerita pendek lucu dan absurd tentang kehidupan sehari-hari.,0
9783577344427,Ritual Berdarah Dingin,Vargo Corpse,Nokturnal Books,220,gore,2023,4,25-09-2023,Tersedia,Detail mengerikan dari serangkaian pembunuhan ritualistik yang brutal.,0
9789479331933,Senandung Cinta di Kafe Senja,Clara Belle,Melodi Hati,260,romantis,2025,18,14-02-2025,Tersedia,Kisah cinta dua jiwa yang bertemu tak sengaja di sebuah kafe kecil.,0
9788832130372,Koloni Antariksa Kepler-186f,Dr. Aris Nova,Galaksi Pustaka,390,scifi,2024,11,22-04-2024,Tersedia,Perjuangan umat manusia membangun peradaban baru di planet asing.,0
9786511724730,Secangkir Teh dan Obrolan Pagi,Hana Yulia,Jendela Kehidupan,210,slice of life,2023,14,17-06-2023,Tersedia,Potongan-potongan momen sederhana namun bermakna dari kehidupan seorang barista.,0
9780679258426,Labirin Pikiran Alex,Dr. Evelyn Reed,Mind Matters Publishing,300,psikological,2024,8,28-02-2024,Tersedia,Perjalanan seorang pasien amnesia mengungkap trauma masa lalu yang kompleks.,0
9789003252084,Hantu Tanpa Wajah,Adhitama Graveyard,Pena Gelap,250,horor,2022,5,14-07-2022,Tersedia,Teror arwah penasaran yang mencari korban di sebuah asrama tua.,0
9781786307555,Serbuan Fajar Menyingsing,Marco Blade,Combat Books,350,aksi,2024,17,30-01-2024,Tersedia,Pasukan khusus melawan kartel narkoba di perbatasan yang berbahaya.,0
9784412370209,Mahkota Peri Es,Elara Moonwish,Dunia Ajaib,480,fantasi,2023,10,03-10-2023,Tersedia,Perebutan mahkota ajaib yang menentukan nasib kerajaan peri.,0
9786173072940,Lawak Zaman Now,Udin Cengengesan,Humor Kita,160,comedi,2025,20,01-04-2025,Tersedia,Kumpulan stand-up comedy dan sketsa satir tentang tren viral.,0
9787240440031,Museum Daging Manusia,Goryeo Nightshade,Obscura Press,200,gore,2022,3,29-05-2022,Tersedia,Investigasi seorang detektif pada kasus mutilasi yang mengarah ke kolektor mengerikan.,0
9784795152181,Surat Cinta Untuk Langit,Aurora Bintang,Kata Hati Pustaka,230,romantis,2024,16,05-05-2024,Tersedia,Korespondensi romantis antara seorang pelukis dan astronom yang tak pernah bertemu.,0
9781369669387,Penjelajah Dimensi X,Kapten Orion,Quantum Publishing,410,scifi,2023,9,18-08-2023,Tersedia,Petualangan tim ilmuwan menembus portal ke dimensi lain yang aneh.,0
9780294796380,Warung Kopi Pak Budi,Sari Puspita,Cerita Sehari-hari,190,slice of life,2025,13,05-01-2025,Tersedia,Kisah-kisah hangat dan lucu dari para pelanggan tetap sebuah warung kopi.,0
9780436094759,Air Mata Ibu Pertiwi,Dewangga Putra,Sajak Bangsa,310,drama,2022,7,27-10-2022,Tersedia,Drama keluarga yang berlatar belakang peristiwa sejarah penting Indonesia.,0
9789932816883,Bayang-Bayang Kepribadian Ganda,Dr. Kenzo Tanaka,Psyche Books,290,psikological,2024,10,11-03-2024,Tersedia,Studi kasus mendalam tentang seseorang dengan Dissociative Identity Disorder.,0
9782489385291,Pemrograman Kuantum Praktis,Dr. Anya Sharma,Inovasi Digital,490,teknologi,2023,6,07-07-2023,Tersedia,Pengenalan dan contoh aplikasi komputer kuantum untuk non-fisikawan.,0
9788843517282,Jeritan di Malam Buta,Nyx Terror,Malam Seram Press,265,horor,2025,11,22-02-2025,Tersedia,Legenda urban tentang makhluk malam yang meneror sebuah desa terpencil.,0
9789683765934,Pembalasan Sang Elang Hitam,Leo Hunter,Adrenalin Books,340,aksi,2022,14,09-09-2022,Tersedia,Seorang mantan tentara bayaran memburu orang-orang yang mengkhianatinya.,0
9781681636822,Kerajaan Elf di Hutan Larangan,Silvanus Silverwood,Elven Chronicles,520,fantasi,2024,12,18-01-2024,Tersedia,Kisah perebutan takhta dan sihir kuno di antara bangsa elf.,0
9787741895980,Kumpulan Lelucon Pak RT,Cak Slamet,Guyonan Desa,150,comedi,2023,19,22-07-2023,Tersedia,Humor khas pedesaan yang mengocok perut dari pengalaman seorang RT.,0
9787938139938,Darah di Atas Kanvas,Victor Morte,Galeri Noda,240,gore,2025,6,03-03-2025,Tersedia,Seorang pelukis psikopat menggunakan darah korbannya sebagai medium seni.,0
9783862280581,Armada Bintang Jatuh,Navigator Xenon,Kosmik Saga,430,scifi,2024,9,11-04-2024,Tersedia,Peperangan antargalaksi untuk memperebutkan sumber energi terakhir di alam semesta.,0
9780322965350,Catatan Harian Kedai Kopi Pelangi,Rina Amelia,Harmoni Pagi,200,slice of life,2023,16,09-05-2023,Tersedia,Kisah-kisah kecil penuh kehangatan dari interaksi pemilik kedai kopi dan pelanggannya.,0
9780417499949,Tirai Besi Keluarga Adidharma,Raditya Sastra,Dinasti Pustaka,360,drama,2025,7,01-02-2025,Tersedia,Konflik internal keluarga konglomerat yang penuh intrik dan rahasia.,0
9785031693492,Sindrom Identitas Terpecah,Dr. Riana Alamsyah,Jurnal Jiwa,310,psikological,2022,10,25-08-2022,Tersedia,Analisis kasus seorang pasien dengan banyak kepribadian yang saling bertentangan.,0
9784340791290,Etika Kecerdasan Artifisial,Prof. Halim Wijaya,Forum AI,400,teknologi,2024,13,28-03-2024,Tersedia,Dilema moral dan etika dalam pengembangan kecerdasan buatan tingkat lanjut.,0
9783974321932,Apartemen Nomor 13,Dimas Angkara,Lantai Terkutuk,270,horor,2023,5,12-10-2023,Tersedia,Penghuni baru sebuah apartemen diganggu oleh entitas gaib yang kejam.,0
9785338546834,Misi Penyelamatan Presiden,Kapten Baja,Serbu Kilat Press,330,aksi,2025,18,20-04-2025,Tersedia,Sebuah tim elit berpacu dengan waktu untuk menyelamatkan presiden dari penculikan teroris.,0
9780256085391,Pedang Naga Kembar,Aria Windrider,Legenda Fantastika,490,fantasi,2022,11,06-06-2022,Tersedia,Dua saudara kembar terpilih untuk menemukan pedang pusaka guna mengalahkan tiran jahat.,0
9785546802258,Sekolah Paling Kocak Sedunia,Joni Garing,Tawa Ceria Publishing,170,comedi,2024,21,02-01-2024,Tersedia,Kekonyolan guru dan murid di sekolah yang semua aturannya aneh.,0
9780491652972,Pesta Topeng Berdarah,Silas Nightfall,Crimson Tales,210,gore,2023,0,19-04-2023,Kosong,Sebuah pesta topeng mewah berubah menjadi ajang pembantaian brutal.,0
9781079990593,Cinta Pertama di Musim Sakura,Hana Aiko,Kisah Bunga,250,romantis,2025,15,15-03-2025,Tersedia,Romansa manis antara pelajar pertukaran dan gadis lokal di bawah mekarnya bunga sakura.,0
9786156872392,Planet Para Robot Pemberontak,Cyrax Prime,Logam Pustaka,450,scifi,2022,8,12-12-2022,Tersedia,Masa depan di mana robot dengan kesadaran memberontak melawan pencipta manusia mereka.,0
9788834833378,Warung Nasi Ibu Sumi,Adi Setiawan,Cerita Rakyat Urban,180,slice of life,2024,17,25-05-2024,Tersedia,Kehidupan sehari-hari para pedagang dan pembeli di sekitar warung nasi legendaris.,0
9782267150669,Rahasia Gelap Sang Politikus,Marcus Integrity,Panggung Belakang,380,drama,2023,6,03-09-2023,Tersedia,Terungkapnya skandal korupsi dan permainan kotor seorang politikus ternama.,0
9788021749465,Terapi Mimpi Buruk,Dr. Alan Spectra,Alam Bawah Sadar Press,300,psikological,2025,9,24-01-2025,Tersedia,Seorang terapis membantu pasien mengatasi mimpi buruk berulang yang mengancam kewarasannya.,0
9789667413100,Revolusi Bio-informatika,Dr. Liana Genom,Sains Masa Depan,420,teknologi,2022,12,01-07-2022,Tersedia,Peran bio-informatika dalam memecahkan misteri genetika dan pengembangan obat.,0
9784959004277,Desa Penari Ular,Maya Sari,Klenik Nusantara,290,horor,2024,4,15-02-2024,Tersedia,Tim peneliti budaya tersesat di desa terpencil dengan ritual pemujaan ular yang mengerikan.,0
9783658432214,Kejar Tayang Misi Mustahil,Alex Viper,Laga Cepat,310,aksi,2023,16,29-06-2023,Tersedia,Seorang kurir khusus harus mengantarkan paket rahasia melewati berbagai rintangan mematikan.,0
9788731712626,Gerbang Dunia Bawah Tanah,Raka Shadowhand,Petualang Gelap,500,fantasi,2025,10,01-05-2025,Tersedia,Pencarian gerbang mitos yang menghubungkan dunia manusia dengan dunia makhluk gaib.,0
9789693218810,Klub Komedi Anti Galau,Budi Ceria,Senyum Manis Publishing,190,comedi,2022,20,10-10-2022,Tersedia,Usaha sekelompok orang membangun klub komedi untuk menyebarkan tawa di kota mereka.,0
9784671327382,Kolektor Bagian Tubuh,Mortis Cutter,Graveyard Press,230,gore,2024,2,04-04-2024,Tersedia,Detektif veteran memburu pembunuh berantai yang mengoleksi bagian tubuh korbannya.,0
9785778820630,Cinta Bersemi di Kebun Teh,Rani Puspita,Lembah Asmara,260,romantis,2023,18,08-11-2023,Tersedia,Kisah asmara antara pemilik kebun teh dan seorang turis yang tersesat.,0
9787072528771,Invasi Robot dari Mars,Jenderal Zorg,Planet Merah Press,440,scifi,2025,10,19-02-2025,Tersedia,Bumi diserang oleh pasukan robot canggih dari planet Mars.,0
9781368044035,Diari Seorang Penjaga Mercusuar,Pak Tua Samudra,Cahaya Pantai,205,slice of life,2022,15,14-06-2022,Tersedia,Renungan dan kisah sehari-hari seorang penjaga mercusuar di pulau terpencil.,0
9781908398283,Kutukan Keluarga Bangsawan,Lady Victoria,Manor Kelam,370,drama,2024,7,07-01-2024,Tersedia,Sebuah kutukan turun-temurun menghantui keluarga bangsawan kaya raya.,0
9783404775421,Memahami Alam Pikiran Kucing,Dr. Meowgaret Catson,Felidae Pustaka,315,psikological,2023,11,01-08-2023,Tersedia,Penelitian ilmiah dan observasi tentang perilaku dan psikologi kucing domestik.,0
9787352108088,Blockchain dan Mata Uang Kripto,Alex Crypto,Dunia Digital,390,teknologi,2025,14,15-04-2025,Tersedia,Panduan lengkap memahami teknologi blockchain dan investasi mata uang kripto.,0
9784788468195,Rumah Sakit Jiwa Terlantar,Dr. Insanus,Koridor Gila,275,horor,2022,6,02-10-2022,Tersedia,Sekelompok mahasiswa kedokteran melakukan uji nyali di rumah sakit jiwa angker.,0
9783015700901,Operasi Penyelundupan Berlian,"Silas ""Diamond"" Drake",Jaringan Gelap,325,aksi,2024,19,28-05-2024,Tersedia,Mantan pencuri ulung direkrut untuk misi berbahaya mencuri kembali berlian langka.,0
9783429643048,Negeri Para Penyihir Angin,Aerion Stormcaller,Sihir Elemental,530,fantasi,2023,9,12-03-2023,Tersedia,Perjalanan seorang pemuda menemukan bakat sihir anginnya di negeri ajaib.,0
9784637637833,Sitkom Kantor Paling Rusuh,Manager Edan,Chaos Corp Publishing,175,comedi,2025,23,29-01-2025,Tersedia,Kumpulan sketsa komedi tentang kekacauan sehari-hari di sebuah kantor.,0
9789166706615,Jagal dari Distrik Merah,Blade X,Distopia Press,215,gore,2022,0,11-11-2022,Kosong,Kisah mengerikan seorang pembunuh berantai yang meneror distrik kumuh.,0
9782630000994,Melodi Cinta Tak Terucap,Leo Nada,Harmoni Jiwa,265,romantis,2024,17,21-02-2024,Tersedia,Cinta platonis yang mendalam antara seorang komposer dan penyanyi opera.,0
9782211980451,Perang Bintang Abad Ke-25,Laksamana Nova Starfire,Federasi Galaktika,460,scifi,2023,12,16-09-2023,Tersedia,Konflik epik antara Federasi Bumi dan Kekaisaran Krull di masa depan.,0
9783512932519,Surat Dari Perantauan,Anak Desa,Kenangan Kampung,195,slice of life,2025,16,23-03-2025,Tersedia,Kumpulan surat seorang perantau yang merindukan kampung halamannya.,0
9787695270411,Mahligai Pernikahan Berdarah,Ratu Isabella,Istana Duka,350,drama,2022,5,28-07-2022,Tersedia,Pernikahan politik yang berakhir tragis dengan pembunuhan dan perebutan kekuasaan.,0
9785563617198,Eksperimen Telepati Gagal,Dr. Mindbender,Lab Rahasia,305,psikological,2024,8,03-04-2024,Tersedia,Sebuah eksperimen telepati yang salah mengakibatkan konsekuensi mengerikan.,0
9780127206184,Komputasi Awan Skala Besar,Prof. Cloudia Data,Mega Server Press,410,teknologi,2023,13,05-06-2023,Tersedia,Arsitektur dan manajemen sistem komputasi awan untuk perusahaan besar.,0
9784266722884,Boneka Arwah Penunggu Loteng,Lila Creepy,Rumah Hantu Publishing,285,horor,2025,10,10-05-2025,Tersedia,Sebuah keluarga baru pindah ke rumah yang lotengnya dihuni boneka berarwah jahat.,0
9786567419273,Pemburu Artefak Kuno,Dr. Indiana Jonesy,Petualang Dunia,335,aksi,2022,20,11-08-2022,Tersedia,Arkeolog pemberani mencari artefak legendaris yang diincar organisasi jahat.,0
9785874552270,Akademi Penyihir Cahaya dan Kegelapan,Merlin Shadowcaster,Grimoire Ajaib,540,fantasi,2024,11,08-02-2024,Tersedia,Persaingan dan persahabatan di akademi sihir yang melatih penyihir dari dua aliran.,0
9783556896606,Salah Sambung Paling Gokil,Tele Poni,Operator Kocak,165,comedi,2023,25,24-10-2023,Tersedia,Kumpulan percakapan telepon salah sambung yang berujung komedi.,0
9780761282304,Ruang Autopsi Nomor 4,Dr. Carver,Forensik Files,225,gore,2025,4,29-04-2025,Tersedia,Catatan seorang ahli forensik dalam memecahkan kasus pembunuhan dari meja autopsi.,0
9780095569156,Cinta Segitiga di Kota Metropolitan,Vania Urban,Gemerlap Kota,270,romantis,2022,17,19-09-2022,Tersedia,Kisah cinta rumit antara tiga sahabat yang tinggal di kota besar.,0
9785961122292,Serangan Alien Hibrida,Komandan Sky,Pertahanan Bumi,470,scifi,2024,9,14-01-2024,Tersedia,Invasi alien yang menggunakan teknologi hibrida untuk menaklukkan Bumi.,0
9780545044188,Secarik Kertas dari Masa Lalu,Nenek Laila,Album Kenangan,185,slice of life,2023,16,01-07-2023,Tersedia,Penemuan secarik kertas tua mengungkap kisah cinta terpendam dari masa muda seorang nenek.,0
9784810862178,Prahara di Istana Kristal,Putri Aurora,Saga Kerajaan,360,drama,2025,6,09-03-2025,Tersedia,Perebutan kekuasaan dan pengkhianatan di balik kemegahan istana kristal.,0
9788547530291,Jejak Kaki di Bulan Europa,Dr. Titan Explorer,Ekspedisi Antariksa,320,psikological,2023,9,17-10-2023,Tersedia,Seorang astronot mengalami isolasi ekstrem dan mempertanyakan realitas di bulan Jupiter.,0
9788002667467,Robotika Sosial Interaktif,Prof. Andro Cyber,Masa Depan Cerdas,415,teknologi,2024,12,25-04-2024,Tersedia,Pengembangan robot yang mampu berinteraksi secara emosional dan sosial dengan manusia.,0
9782011145000,Vila Mawar Berhantu,Casper Ghostly,Rumah Penerbit Seram,295,horor,2022,7,28-08-2022,Tersedia,Pasangan muda membeli vila impian yang ternyata dihuni arwah penasaran pemilik sebelumnya.,0
9787743246573,Tim Pemburu Harta Karun Naga,Kapten Gold Digger,Peta Petualangan,345,aksi,2025,17,03-01-2025,Tersedia,Sekelompok pemburu harta karun bertaruh nyawa mencari emas peninggalan naga kuno.,0
9787729775973,Dunia Permen Pelangi,Lila Sweet,Fantasi Manis,495,fantasi,2023,10,02-05-2023,Tersedia,Petualangan seorang anak di dunia ajaib yang terbuat dari permen dan kue.,0
9785565839479,Calon Mantu Paling Konyol,Dadang Sutisna,Keluarga Ceria,180,comedi,2024,21,11-02-2024,Tersedia,Usaha seorang pemuda merebut hati calon mertua dengan cara-cara yang absurd.,0
9784255852886,Kamar Operasi Tanpa Anestesi,Dr. Slasher,Rekam Medis Brutal,235,gore,2022,4,04-11-2022,Tersedia,Kisah nyata (fiksi) seorang ahli bedah gila yang melakukan eksperimen sadis pada pasiennya.,0
9785588587763,Rhapsody Cinta Musim Gugur,Serena Melody,Nada Romantis,270,romantis,2025,16,01-04-2025,Tersedia,Kisah cinta antara seorang pianis dan penulis puisi di tengah indahnya musim gugur.,0
9789391123117,Kronik Peradaban Centauri,Alpha Centurion,Arsip Bintang,455,scifi,2023,8,09-09-2023,Tersedia,Catatan sejarah panjang peradaban maju di sistem bintang Alpha Centauri.,0
9789959202815,Warung Teh di Simpang Jalan,Mbah Sastro,Obrolan Sore,190,slice of life,2024,14,20-01-2024,Tersedia,Kehidupan sehari-hari dan interaksi unik para pengunjung warung teh sederhana.,0
9784191775781,Skandal Menteri Keuangan,Investigator X,Jejak Skandal,375,drama,2022,5,15-07-2022,Tersedia,Pengungkapan kasus korupsi besar yang melibatkan pejabat tinggi negara.,0
9781210808121,Permainan Pikiran Sang Hipnotis,Prof. Svengali,Kendali Jiwa Press,310,psikological,2025,10,26-02-2025,Tersedia,Seorang hipnoterapis menggunakan kemampuannya untuk memanipulasi pikiran orang lain demi keuntungan pribadi.,0
9787816513113,Internet of Things Terapan,Dr. Connecto,Sistem Cerdas,400,teknologi,2023,11,21-06-2023,Tersedia,Implementasi praktis IoT dalam berbagai industri dan kehidupan sehari-hari.,0
9783202764550,Penunggu Sumur Tua Keramat,Ki Misteri,Cerita Gaib Lokal,280,horor,2024,0,17-03-2024,Kosong,Gangguan makhluk halus dari sumur tua yang dianggap keramat oleh warga desa.,0
9783394574156,Pasukan Khusus Anti Teror Global,Kolonel Rhino,Benteng Pertahanan,355,aksi,2022,19,01-12-2022,Tersedia,Operasi senyap pasukan khusus memberantas jaringan teroris internasional.,0
9782069993897,Lembah Para Griffin Penjaga,Elara Skywing,Mitologi Fantastis,505,fantasi,2025,13,22-05-2025,Tersedia,Perjalanan seorang pahlawan mencari bantuan Griffin legendaris untuk menyelamatkan kerajaannya.,0
9781444315309,Salah Kostum di Pesta Halloween,Cupu Maksimal,Gagal Keren Ent.,170,comedi,2023,24,31-10-2023,Tersedia,Kekacauan akibat salah memakai kostum di pesta Halloween paling bergengsi.,0
9782386098631,Hotel Pemakan Tamu,Innkeeper Death,Lorong Berdarah Books,245,gore,2024,3,07-05-2024,Tersedia,Para tamu sebuah hotel terpencil satu per satu menghilang secara mengerikan.,0
9783927125101,Melukis Pelangi di Hatimu,Arjuna Cinta,Kanvas Asmara,255,romantis,2022,15,27-09-2022,Tersedia,Seorang pelukis menemukan kembali inspirasinya setelah bertemu dengan cinta sejatinya.,0
9780027254398,Kapal Induk Generasi Kelima,Admiral Stargazer,Armada Masa Depan,465,scifi,2025,9,01-03-2025,Tersedia,Pengembangan dan uji coba kapal induk antariksa dengan teknologi revolusioner.,0
9786116582337,Keseharian Tukang Ojek Online,Bang Ojol Santuy,Aspal Panas Stories,200,slice of life,2023,18,14-08-2023,Tersedia,Suka duka dan cerita unik seorang tukang ojek online dalam menjalani profesinya.,0
9780895911568,Ambisi Membawa Petaka,Diana Ambisius,Panggung Kehancuran,385,drama,2024,6,30-01-2024,Tersedia,Kisah seorang wanita karir yang ambisinya menghancurkan dirinya sendiri dan orang di sekitarnya.,0
9789903766113,Decoding Bahasa Tubuh Lawan Bicara,Dr. Aura Insight,Komunikasi Efektif,300,psikological,2022,11,07-07-2022,Tersedia,Cara membaca dan memahami pesan tersembunyi dari bahasa tubuh orang lain.,0
9780921659880,Pengembangan Aplikasi Mobile Lintas Platform,Dev Master,Kode Universal,425,teknologi,2025,14,10-04-2025,Tersedia,Teknik dan framework terbaru untuk membangun aplikasi mobile di Android dan iOS sekaligus.,0
9782741165373,Kutukan Topeng Kematian,Arkeo Darko,Relik Terlarang,300,horor,2023,8,15-03-2023,Tersedia,Sebuah topeng kuno membawa malapetaka bagi siapa saja yang memakainya.,0
9783502438603,Agen Rahasia vs Mafia Siber,Cyber Ninja X,Kode Merah Ops,365,aksi,2025,16,02-02-2025,Tersedia,Pertarungan sengit agen rahasia melawan organisasi peretas yang mengancam keamanan global.,0
9786280848438,Istana di Balik Air Terjun Pelangi,Ratu Iris,Negeri Dongeng Indah,515,fantasi,2022,11,10-09-2022,Tersedia,Penemuan istana ajaib yang tersembunyi di balik air terjun dengan tujuh warna.,0
9785444369459,Kelompok Lawak Salah Gaul,Dodit Mlipir,Panggung Ketawa,195,comedi,2024,22,22-01-2024,Tersedia,Kekonyolan sekelompok pemuda yang mencoba menjadi pelawak terkenal namun selalu gagal total.,0
9782085567849,Manusia Gergaji dari Hutan Terlarang,Wood Cutter Grim,Serpihan Teror,250,gore,2023,5,03-10-2023,Tersedia,Legenda urban tentang sosok mengerikan yang memburu para pendaki di hutan angker.,0
9781983179180,Kisah Cinta Abadi Romeo & Juliet Modern,Shakes Peary,Asmara Klasik Baru,280,romantis,2025,19,18-04-2025,Tersedia,Adaptasi modern kisah cinta tragis Romeo dan Juliet di tengah konflik geng motor.,0
9784722586800,Stasiun Luar Angkasa Omega 7,Dr. Stella Voyager,Jelajah Nebula,475,scifi,2022,10,25-07-2022,Tersedia,Kehidupan dan misteri di stasiun luar angkasa raksasa yang menjadi persinggahan antarplanet.,0
9788034516399,Resep Rahasia Nenek di Desa,Chef Kampung,Warisan Rasa,175,slice of life,2024,17,05-05-2024,Tersedia,Kumpulan resep masakan tradisional turun-temurun dari seorang nenek di desa.,0
9789096306698,Perceraian yang Mengguncang Takhta,Lord Richard,Skandal Kerajaan,395,drama,2023,7,19-08-2023,Tersedia,Drama perceraian seorang raja yang berdampak pada stabilitas politik kerajaannya.,0
9783284683940,Terjebak dalam Simulasi Realitas,Neo Matrixia,Dunia Virtual Press,330,psikological,2025,9,11-01-2025,Tersedia,Seseorang menyadari bahwa hidupnya adalah bagian dari simulasi komputer yang canggih.,0
9783729104697,Big Data Analytics untuk Bisnis,Prof. Data Analitika,Informasi Strategis,435,teknologi,2022,13,01-06-2022,Tersedia,Pemanfaatan analisis big data untuk pengambilan keputusan bisnis yang lebih baik.,0
9783179563376,Malam Jumat di Kuburan Angker,Tim Pemburu Hantu,Jejak Gaib Nusantara,290,horor,2024,0,29-02-2024,Kosong,Ekspedisi malam tim pemburu hantu di sebuah kompleks pemakaman yang terkenal angker.,0
9780014408421,Operasi Badai Gurun Merah,Sersan Rock Hard,Medan Perang Panas,370,aksi,2023,18,22-09-2023,Tersedia,Misi tempur berbahaya sebuah unit pasukan khusus di tengah gurun yang ganas.,0
9785883257001,Cincin Phoenix Pembawa Keabadian,Ignis Flamewielder,Artefak Legendaris,525,fantasi,2025,12,25-03-2025,Tersedia,Pencarian cincin ajaib yang dapat memberikan keabadian kepada pemiliknya.,0
